from,to,cost
0,1,1
1,2,1
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
7,8,1
7,192,1
7,193,1
8,9,1
8,136,1
8,187,1
9,10,1
10,11,1
11,12,1
11,36,1
11,37,1
12,13,1
12,38,1
12,67,1
13,14,1
14,15,1
15,16,1
16,17,1
16,46,1
16,98,1
17,18,1
17,42,1
17,43,1
18,19,1
19,20,1
19,208,1
19,209,1
20,21,1
20,123,1
20,145,1
21,22,1
22,23,1
23,24,1
24,25,1
25,26,1
26,27,1
27,28,1
28,29,1
29,30,1
30,31,1
31,32,1
32,33,1
34,35,1
34,49,1
34,70,1
34,71,1
34,232,1
35,36,1
35,102,1
35,103,1
37,38,1
38,39,1
38,66,1
39,40,1
40,41,1
41,42,1
43,44,1
43,66,1
43,120,1
44,45,1
45,46,1
45,213,1
45,223,1
46,47,1
46,99,1
47,48,1
48,49,1
48,153,1
48,154,1
50,51,1
51,52,1
52,53,1
53,54,1
54,55,1
55,56,1
56,57,1
57,58,1
58,59,1
59,60,1
60,61,1
61,62,1
62,63,1
62,199,1
62,200,1
63,64,1
64,65,1
64,238,1
65,66,1
66,121,1
67,68,1
68,69,1
69,70,1
69,100,1
69,118,1
71,72,1
72,73,1
72,117,1
73,74,1
74,75,1
75,76,1
75,221,1
75,222,1
76,77,1
77,78,1
78,79,1
79,80,1
80,81,1
82,83,1
83,84,1
84,85,1
85,86,1
86,87,1
87,88,1
88,89,1
89,90,1
90,91,1
91,92,1
92,93,1
93,94,1
94,95,1
94,202,1
94,203,1
95,96,1
96,97,1
96,239,1
96,240,1
97,98,1
98,139,1
98,140,1
99,100,1
100,101,1
100,119,1
101,102,1
103,104,1
104,105,1
105,106,1
105,215,1
105,216,1
106,107,1
107,108,1
107,254,1
107,255,1
108,109,1
109,110,1
110,111,1
110,164,1
110,226,1
111,112,1
112,113,1
114,115,1
115,116,1
115,191,1
115,192,1
116,117,1
117,118,1
117,187,1
119,120,1
120,142,1
120,143,1
120,153,1
121,122,1
122,123,1
122,209,1
122,210,1
123,124,1
123,242,1
124,125,1
125,126,1
126,127,1
127,128,1
128,129,1
129,130,1
130,131,1
131,132,1
132,133,1
133,134,1
134,135,1
136,137,1
136,186,1
137,138,1
138,139,1
140,141,1
141,142,1
143,144,1
144,145,1
145,146,1
145,241,1
146,147,1
147,148,1
148,149,1
149,150,1
150,151,1
151,152,1
154,155,1
155,156,1
156,157,1
156,216,1
156,217,1
157,158,1
158,159,1
158,253,1
158,254,1
159,160,1
160,161,1
161,162,1
162,163,1
163,164,1
164,165,1
164,227,1
165,166,1
166,167,1
167,168,1
168,266,1
168,267,1
169,170,1
170,171,1
171,172,1
172,173,1
173,174,1
174,175,1
175,176,1
176,177,1
177,178,1
178,179,1
179,180,1
180,181,1
181,182,1
182,183,1
183,184,1
184,185,1
184,194,1
184,237,1
185,186,1
185,193,1
185,194,1
188,189,1
188,222,1
189,190,1
190,191,1
194,195,1
195,196,1
196,197,1
197,198,1
198,199,1
200,201,1
201,202,1
203,204,1
204,205,1
205,206,1
205,240,1
205,241,1
206,207,1
207,208,1
210,211,1
211,212,1
212,213,1
213,214,1
214,215,1
215,224,1
215,225,1
217,218,1
218,219,1
219,220,1
220,221,1
220,231,1
220,232,1
223,224,1
225,226,1
225,247,1
225,255,1
227,228,1
228,229,1
229,230,1
229,266,1
230,231,1
233,234,1
234,235,1
235,236,1
236,237,1
238,239,1
242,243,1
243,244,1
244,245,1
245,246,1
246,247,1
247,248,1
247,256,1
248,249,1
249,250,1
251,252,1
252,253,1
256,257,1
257,258,1
258,259,1
259,260,1
260,261,1
261,262,1
262,263,1
263,264,1
264,265,1
267,268,1
268,269,1
269,270,1
270,271,1
271,272,1
272,273,1
273,274,1
274,275,1
